dataset_name,record_id,source_id,review_status,reviewed_at,decision_reason
weather_transport_disruptions,wtdx_ee395b705ddbb8,src_04661daee22c,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_3ea14eeafed902,src_df96f287847b,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_1f5359fe27c0b1,src_ae34edc7b5b8,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_5552ad34f5ff20,src_9294e7931f10,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_06e9166cff57fe,src_9294e7931f10,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_5e3bd440d374c6,src_779f0deaef06,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_47abb273cb514b,src_779f0deaef06,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_789683858fe80b,src_df619e1287cf,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_90d54de4be1eec,src_a16fd9700dcc,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_6132059b4707bf,src_a16fd9700dcc,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_a0a4de416d662a,src_a16fd9700dcc,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_3c634e8b20420f,src_15b45c8e5513,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_2eb361ba24955a,src_b2b6a41474db,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_635e971760f9be,src_b3e58bd1176a,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_30d8d77e798741,src_a9a481f804e3,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_5b9e58e92eedc7,src_5bc229545f5e,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
weather_transport_disruptions,wtdx_63cbb293b72404,src_ee197f9c75bc,rejected,2026-07-12,"evidence sentence does not directly support all inferred core fields, is a plan/general rule, is geographically mismatched, or is off-topic"
